"ID";"Object";"Period";"Timestamp";"Year";"Month";"Day";"Time";"Week";"Day of the week";"Initial value";"Final value";"Average value";"Min. value";"Max. value";"Sum";"Counter";"Difference";"Integral"
708;"Temp Att StC";HOUR;1766062800;2025;12;18;14;51;4;27,040;27,040;27,030;26,980;27,080;189,220;6,000;0,000;27,030
704;"Temp Att StB";HOUR;1766062800;2025;12;18;14;51;4;24,680;24,680;24,663;24,620;24,700;172,660;6,000;0,000;24,663
700;"Temp Att StA";HOUR;1766062800;2025;12;18;14;51;4;26,560;26,520;26,505;26,460;26,560;185,560;6,000;-0,040;26,505
708;"Temp Att StC";HOUR;1766059200;2025;12;18;13;51;4;27,140;27,040;27,074;27,040;27,140;189,560;6,000;-0,100;27,074
704;"Temp Att StB";HOUR;1766059200;2025;12;18;13;51;4;24,820;24,680;24,767;24,680;24,820;173,340;6,000;-0,140;24,767
700;"Temp Att StA";HOUR;1766059200;2025;12;18;13;51;4;26,600;26,560;26,542;26,500;26,600;185,820;6,000;-0,040;26,542
708;"Temp Att StC";HOUR;1766055600;2025;12;18;12;51;4;27,120;27,140;27,163;27,120;27,200;190,100;6,000;0,020;27,163
704;"Temp Att StB";HOUR;1766055600;2025;12;18;12;51;4;24,740;24,820;24,795;24,740;24,840;173,560;6,000;0,080;24,795
700;"Temp Att StA";HOUR;1766055600;2025;12;18;12;51;4;26,640;26,600;26,602;26,580;26,640;186,220;6,000;-0,040;26,602
708;"Temp Att StC";HOUR;1766052000;2025;12;18;11;51;4;27,200;27,120;27,187;27,120;27,220;190,300;6,000;-0,080;27,187
704;"Temp Att StB";HOUR;1766052000;2025;12;18;11;51;4;24,840;24,740;24,807;24,740;24,880;173,620;6,000;-0,100;24,807
700;"Temp Att StA";HOUR;1766052000;2025;12;18;11;51;4;26,640;26,640;26,640;26,600;26,660;186,480;6,000;0,000;26,640
708;"Temp Att StC";HOUR;1766048400;2025;12;18;10;51;4;27,280;27,200;27,243;27,200;27,300;190,720;6,000;-0,080;27,243
704;"Temp Att StB";HOUR;1766048400;2025;12;18;10;51;4;24,860;24,840;24,865;24,820;24,920;174,040;6,000;-0,020;24,865
700;"Temp Att StA";HOUR;1766048400;2025;12;18;10;51;4;26,680;26,640;26,655;26,620;26,680;186,580;6,000;-0,040;26,655
708;"Temp Att StC";HOUR;1766044800;2025;12;18;9;51;4;27,480;27,280;27,372;27,280;27,480;191,660;6,000;-0,200;27,372
704;"Temp Att StB";HOUR;1766044800;2025;12;18;9;51;4;25,260;24,860;25,076;24,860;25,260;175,460;6,000;-0,400;25,076
700;"Temp Att StA";HOUR;1766044800;2025;12;18;9;51;4;26,920;26,680;26,780;26,680;26,920;187,420;6,000;-0,240;26,780
708;"Temp Att StC";HOUR;1766041200;2025;12;18;8;51;4;27,580;27,480;27,465;27,400;27,580;192,340;6,000;-0,100;27,465
704;"Temp Att StB";HOUR;1766041200;2025;12;18;8;51;4;25,420;25,260;25,264;25,180;25,420;176,900;6,000;-0,160;25,264
700;"Temp Att StA";HOUR;1766041200;2025;12;18;8;51;4;26,660;26,920;26,744;26,660;26,920;187,320;6,000;0,260;26,744
708;"Temp Att StC";HOUR;1766037600;2025;12;18;7;51;4;28,300;27,580;28,030;27,580;28,300;196,280;6,000;-0,720;28,030
704;"Temp Att StB";HOUR;1766037600;2025;12;18;7;51;4;26,320;25,420;25,995;25,420;26,320;181,700;6,000;-0,900;25,995
700;"Temp Att StA";HOUR;1766037600;2025;12;18;7;51;4;27,560;26,660;26,835;26,440;27,560;187,900;6,000;-0,900;26,835
708;"Temp Att StC";HOUR;1766034000;2025;12;18;6;51;4;28,260;28,300;28,275;28,240;28,300;197,920;6,000;0,040;28,275
704;"Temp Att StB";HOUR;1766034000;2025;12;18;6;51;4;26,320;26,320;26,353;26,320;26,380;184,440;6,000;0,000;26,353
700;"Temp Att StA";HOUR;1766034000;2025;12;18;6;51;4;27,560;27,560;27,573;27,540;27,600;193,000;6,000;0,000;27,573
708;"Temp Att StC";HOUR;1766030400;2025;12;18;5;51;4;28,220;28,260;28,251;28,220;28,300;197,740;6,000;0,040;28,251
704;"Temp Att StB";HOUR;1766030400;2025;12;18;5;51;4;26,300;26,320;26,318;26,300;26,340;184,220;6,000;0,020;26,318
700;"Temp Att StA";HOUR;1766030400;2025;12;18;5;51;4;27,540;27,560;27,551;27,540;27,580;192,860;6,000;0,020;27,551
708;"Temp Att StC";HOUR;1766026800;2025;12;18;4;51;4;28,180;28,220;28,211;28,180;28,220;197,460;6,000;0,040;28,211
704;"Temp Att StB";HOUR;1766026800;2025;12;18;4;51;4;26,300;26,300;26,297;26,260;26,320;184,080;6,000;0,000;26,297
700;"Temp Att StA";HOUR;1766026800;2025;12;18;4;51;4;27,500;27,540;27,518;27,500;27,540;192,640;6,000;0,040;27,518
708;"Temp Att StC";HOUR;1766023200;2025;12;18;3;51;4;28,140;28,180;28,151;28,120;28,180;197,060;6,000;0,040;28,151
704;"Temp Att StB";HOUR;1766023200;2025;12;18;3;51;4;26,260;26,300;26,272;26,260;26,300;183,920;6,000;0,040;26,272
700;"Temp Att StA";HOUR;1766023200;2025;12;18;3;51;4;27,520;27,500;27,499;27,480;27,520;192,500;6,000;-0,020;27,499
708;"Temp Att StC";HOUR;1766019600;2025;12;18;2;51;4;28,080;28,140;28,090;28,060;28,140;196,640;6,000;0,060;28,090
704;"Temp Att StB";HOUR;1766019600;2025;12;18;2;51;4;26,240;26,260;26,261;26,240;26,300;183,820;6,000;0,020;26,261
700;"Temp Att StA";HOUR;1766019600;2025;12;18;2;51;4;27,460;27,520;27,453;27,420;27,520;192,220;6,000;0,060;27,453
708;"Temp Att StC";HOUR;1766016000;2025;12;18;1;51;4;28,000;28,080;28,032;28,000;28,080;196,220;6,000;0,080;28,032
704;"Temp Att StB";HOUR;1766016000;2025;12;18;1;51;4;26,220;26,240;26,241;26,220;26,280;183,680;6,000;0,020;26,241
700;"Temp Att StA";HOUR;1766016000;2025;12;18;1;51;4;27,420;27,460;27,432;27,420;27,460;192,040;6,000;0,040;27,432
708;"Temp Att StC";DAY;1766012400;2025;12;18;;51;4;27,940;27,040;27,703;26,980;28,300;2909,040;90,000;-0,900;415,551
